paperId,authorId,name,affiliations
087dd95e13efd47aef2a6582e6801b39fc0f83d8,2228109,Caiming Xiong,
087dd95e13efd47aef2a6582e6801b39fc0f83d8,2166511,R. Socher,
087dd95e13efd47aef2a6582e6801b39fc0f83d8,1912476,Byron C. Wallace,
3a7bbc46795929f0eace82b64c44c92a48682fb5,2403712,A. Akbik,
3a7bbc46795929f0eace82b64c44c92a48682fb5,2077245166,Tanja Bergmann,
3a7bbc46795929f0eace82b64c44c92a48682fb5,2725328,Duncan A. J. Blythe,
3a7bbc46795929f0eace82b64c44c92a48682fb5,4565995,Kashif Rasul,
3a7bbc46795929f0eace82b64c44c92a48682fb5,134757625,Stefan Schweter,
3a7bbc46795929f0eace82b64c44c92a48682fb5,2742129,Roland Vollgraf,
a747e8f2659df479c0092301b9658fc582423df1,8129718,Alham Fikri Aji,
a747e8f2659df479c0092301b9658fc582423df1,9162688,Genta Indra Winata,
a747e8f2659df479c0092301b9658fc582423df1,2789148,Fajri Koto,
a747e8f2659df479c0092301b9658fc582423df1,66986482,Samuel Cahyawijaya,
a747e8f2659df479c0092301b9658fc582423df1,2279712392,Ade Romadhony,
a747e8f2659df479c0092301b9658fc582423df1,1935324,Rahmad Mahendra,
a747e8f2659df479c0092301b9658fc582423df1,46199596,Kemal Kurniawan,
a747e8f2659df479c0092301b9658fc582423df1,35722593,David Moeljadi,
a747e8f2659df479c0092301b9658fc582423df1,2368148,Radityo Eko Prasojo,
a747e8f2659df479c0092301b9658fc582423df1,145465286,Timothy Baldwin,
a747e8f2659df479c0092301b9658fc582423df1,1800564,Jey Han Lau,
a747e8f2659df479c0092301b9658fc582423df1,2124014463,Sebastian Ruder,
598231eb906b183f7a2a408ef4536127e11e3de9,2064295987,Daniel Hershcovich,
598231eb906b183f7a2a408ef4536127e11e3de9,37922370,Stella Frank,
598231eb906b183f7a2a408ef4536127e11e3de9,49568895,Heather Lent,
598231eb906b183f7a2a408ef4536127e11e3de9,3295381,Miryam de Lhoneux,
598231eb906b183f7a2a408ef4536127e11e3de9,30671790,Mostafa Abdou,
598231eb906b183f7a2a408ef4536127e11e3de9,6547490,Stephanie Brandl,
598231eb906b183f7a2a408ef4536127e11e3de9,83574123,Emanuele Bugliarello,
598231eb906b183f7a2a408ef4536127e11e3de9,2093582149,Laura Cabello Piqueras,
598231eb906b183f7a2a408ef4536127e11e3de9,2125376289,Ilias Chalkidis,
598231eb906b183f7a2a408ef4536127e11e3de9,1717462692,Ruixiang Cui,
598231eb906b183f7a2a408ef4536127e11e3de9,50110151,Constanza Fierro,
598231eb906b183f7a2a408ef4536127e11e3de9,82259306,Katerina Margatina,
598231eb906b183f7a2a408ef4536127e11e3de9,1660797358,Phillip Rust,
598231eb906b183f7a2a408ef4536127e11e3de9,1700187,Anders Søgaard,
ce9ca56036307217ea565644d3d3bd74b879e045,32246932,Timo Schick,
ce9ca56036307217ea565644d3d3bd74b879e045,40941940,Sahana Udupa,
ce9ca56036307217ea565644d3d3bd74b879e045,144418438,Hinrich Schütze,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,3449411,Dieuwke Hupkes,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,24068173,Mario Giulianelli,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,74461595,Verna Dankers,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,2347956,Mikel Artetxe,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,51131518,Yanai Elazar,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,1388571351,Tiago Pimentel,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,2718039,Christos Christodoulopoulos,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,51121444,Karim Lasri,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,2362960,Naomi Saphra,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,153915609,Arabella J. Sinclair,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,133864309,Dennis Ulmer,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,2187058204,Florian Schottmann,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,2049136,Khuyagbaatar Batsuren,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,2087314342,Kaiser Sun,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,40910779,Koustuv Sinha,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,50824937,Leila Khalatbari,
